,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
13,frozenset({'FQW5'}),frozenset({'NoRetake'}),0.47103877453326953,0.5165150789851604,0.3379607467687889,0.7174796747967479,1.389077887535131,0.09466211693566404,1.711327921865475
14,"frozenset({'HES', 'Finished'})",frozenset({'FQW5'}),0.32168501675442795,0.47103877453326953,0.26424126376256585,0.8214285714285715,1.7438661440185832,0.11271514768484583,2.9621828626136915
15,"frozenset({'HES', 'FQW5'})",frozenset({'Finished'}),0.26424126376256585,0.7046433700335089,0.26424126376256585,1.0,1.419157608695652,0.07804540916299815,inf
16,"frozenset({'Finished', 'FQW5'})",frozenset({'HES'}),0.47103877453326953,0.39396840593585447,0.26424126376256585,0.5609756097560976,1.4239101443262308,0.07866686862571529,1.3804052975905539
17,frozenset({'HES'}),"frozenset({'Finished', 'FQW5'})",0.39396840593585447,0.47103877453326953,0.26424126376256585,0.6707168894289187,1.4239101443262308,0.07866686862571529,1.6064025408085583
18,frozenset({'Finished'}),"frozenset({'HES', 'FQW5'})",0.7046433700335089,0.26424126376256585,0.26424126376256585,0.37500000000000006,1.4191576086956523,0.07804540916299815,1.1772139779798947
19,frozenset({'FQW5'}),"frozenset({'HES', 'Finished'})",0.47103877453326953,0.32168501675442795,0.26424126376256585,0.5609756097560976,1.7438661440185832,0.11271514768484583,1.54505079517047
20,"frozenset({'NoRetake', 'HES'})",frozenset({'Finished'}),0.28243178554332216,0.7046433700335089,0.2527525131641934,0.8949152542372881,1.2700257921886515,0.053738827994365634,2.8106518012940285
21,"frozenset({'NoRetake', 'Finished'})",frozenset({'HES'}),0.42364767831498323,0.39396840593585447,0.2527525131641934,0.5966101694915255,1.5143604423667032,0.08584871266001379,1.5023472289825457
22,"frozenset({'HES', 'Finished'})",frozenset({'NoRetake'}),0.32168501675442795,0.5165150789851604,0.2527525131641934,0.7857142857142857,1.521183635641467,0.08659735132693741,2.2562629647359183
23,frozenset({'NoRetake'}),"frozenset({'HES', 'Finished'})",0.5165150789851604,0.32168501675442795,0.2527525131641934,0.4893419833178869,1.521183635641467,0.08659735132693741,1.3283155479527626
24,frozenset({'HES'}),"frozenset({'NoRetake', 'Finished'})",0.39396840593585447,0.42364767831498323,0.2527525131641934,0.6415552855407047,1.514360442366703,0.08584871266001379,1.607925290667013
25,frozenset({'Finished'}),"frozenset({'NoRetake', 'HES'})",0.7046433700335089,0.28243178554332216,0.2527525131641934,0.358695652173913,1.2700257921886513,0.053738827994365634,1.118919927627362
26,"frozenset({'NoRetake', 'Finished'})",frozenset({'FQW5'}),0.42364767831498323,0.47103877453326953,0.3379607467687889,0.7977401129943503,1.6935763171191034,0.1384062635414344,2.615255220882997
27,"frozenset({'NoRetake', 'FQW5'})",frozenset({'Finished'}),0.3379607467687889,0.7046433700335089,0.3379607467687889,1.0,1.419157608695652,0.09981894722658821,inf
28,"frozenset({'Finished', 'FQW5'})",frozenset({'NoRetake'}),0.47103877453326953,0.5165150789851604,0.3379607467687889,0.7174796747967479,1.389077887535131,0.09466211693566404,1.711327921865475
29,frozenset({'NoRetake'}),"frozenset({'Finished', 'FQW5'})",0.5165150789851604,0.47103877453326953,0.3379607467687889,0.6543095458758109,1.389077887535131,0.09466211693566404,1.5301586120069761
30,frozenset({'Finished'}),"frozenset({'NoRetake', 'FQW5'})",0.7046433700335089,0.3379607467687889,0.3379607467687889,0.4796195652173913,1.419157608695652,0.09981894722658821,1.272221645896009
31,frozenset({'FQW5'}),"frozenset({'NoRetake', 'Finished'})",0.47103877453326953,0.42364767831498323,0.3379607467687889,0.7174796747967479,1.6935763171191034,0.1384062635414344,2.040038433590131
